PL18475	Ser2P_seq2_scFv_Tn5.fa
PL18476	Ser2P_seq2_scFv_Tn5.fa
PL18477	Ser2P_seq2_scFv_Tn5.fa
PL18478	Ser2P_seq2_scFv_Tn5.fa
PL18479	Ser2P_seq2_scFv_Tn5.fa
PL18480	Ser2P_seq4_scFv_Tn5.fa
PL18481	Ser2P_seq4_scFv_Tn5.fa
PL18482	Ser2P_seq4_scFv_Tn5.fa
PL18483	Ser2P_seq4_scFv_Tn5.fa
PL18484	Ser2P_seq4_scFv_Tn5.fa
PL18485	pAB117.fa
PL18486	pAB117.fa
PL18487	pAB118.fa
PL18488	pAB118.fa
PL18489	pAB119.fa
PL18490	pAB119.fa
PL18491	pAB120.fa
PL18492	pAB120.fa
PL18493	pAB121.fa
PL18494	pAB121.fa
PL18495	pAB122.fa
PL18496	pAB122.fa
PL18497	pAB123.fa
PL18498	pAB123.fa
PL18499	pAB124.fa
PL18500	pAB124.fa
PL18501	pAB125.fa
PL18502	pAB125.fa
PL18503	pAB126.fa
PL18504	pAB127.fa
PL18505	pAB128.fa
PL18506	pAB137.fa
PL18507	pAB137.fa
PL18508	pAB138.fa
PL18509	pAB138.fa
PL18510	pAB139.fa
PL18511	pAB139.fa
PL18512	pAB142.fa
PL18513	pAB143.fa
PL18514	pAB109.fa
PL18515	pLD040_LVX_pEF1a_rtTA3_T2A_tTs_IRES_mScarlet_T2A_BSD.fa
PL18516	pLD040_LVX_pEF1a_rtTA3_T2A_tTs_IRES_mScarlet_T2A_BSD.fa
PL18517	pLD040_LVX_pEF1a_rtTA3_T2A_tTs_IRES_mScarlet_T2A_BSD.fa
PL18518	pLD040_LVX_pEF1a_rtTA3_T2A_tTs_IRES_mScarlet_T2A_BSD.fa
PL18519	pLD040_LVX_pEF1a_rtTA3_T2A_tTs_IRES_mScarlet_T2A_BSD.fa
PL18520	pLD040_LVX_pEF1a_rtTA3_T2A_tTs_IRES_mScarlet_T2A_BSD.fa
PL18521	pLD040_LVX_pEF1a_rtTA3_T2A_tTs_IRES_mScarlet_T2A_BSD.fa
PL18522	pLD040_LVX_pEF1a_rtTA3_T2A_tTs_IRES_mScarlet_T2A_BSD.fa
PL18523	pLD040_LVX_pEF1a_rtTA3_T2A_tTs_IRES_mScarlet_T2A_BSD.fa
PL18524	pLD040_LVX_pEF1a_rtTA3_T2A_tTs_IRES_mScarlet_T2A_BSD.fa
PL18525	pLD048_LVX_U6_BC_pMAP2_RORA_WPRE_pEFS_TagBFP2.fa
PL18526	pLD048_LVX_U6_BC_pMAP2_RORA_WPRE_pEFS_TagBFP2.fa
PL18527	pLD048_LVX_U6_BC_pMAP2_RORA_WPRE_pEFS_TagBFP2.fa
PL18528	pLD048_LVX_U6_BC_pMAP2_RORA_WPRE_pEFS_TagBFP2.fa
PL18529	pLD048_LVX_U6_BC_pMAP2_RORA_WPRE_pEFS_TagBFP2.fa
PL18530	pLD048_LVX_U6_BC_pMAP2_RORA_WPRE_pEFS_TagBFP2.fa
PL18531	pLD048_LVX_U6_BC_pMAP2_RORA_WPRE_pEFS_TagBFP2.fa
PL18532	pLD048_LVX_U6_BC_pMAP2_RORA_WPRE_pEFS_TagBFP2.fa
PL18533	pLD048_LVX_U6_BC_pMAP2_RORA_WPRE_pEFS_TagBFP2.fa
PL18534	pLD048_LVX_U6_BC_pMAP2_RORA_WPRE_pEFS_TagBFP2.fa
PL18535	pLD062_LVX_U6_BC_BORG_pMAP2_ZEB1_WPRE_pEFS_TagBFP2.fa
PL18536	pLD062_LVX_U6_BC_BORG_pMAP2_ZEB1_WPRE_pEFS_TagBFP2.fa
PL18537	pLD062_LVX_U6_BC_BORG_pMAP2_ZEB1_WPRE_pEFS_TagBFP2.fa
PL18538	pLD062_LVX_U6_BC_BORG_pMAP2_ZEB1_WPRE_pEFS_TagBFP2.fa
PL18539	pLD062_LVX_U6_BC_BORG_pMAP2_ZEB1_WPRE_pEFS_TagBFP2.fa
